ISO,Year,EW2
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,54.8
AFG,2001,54.8
AFG,2002,54.8
AFG,2003,54.8
AFG,2004,54.8
AFG,2005,54.8
AFG,2006,54.8
AFG,2007,54.8
AFG,2008,54.8
AFG,2009,54.8
AFG,2010,54.8
AFG,2011,54.8
AFG,2012,54.8
AFG,2013,54.8
AFG,2014,54.8
AFG,2015,54.76
AFG,2016,54.76
AFG,2017,54.76
AFG,2018,54.76
AFG,2019,54.76
AGO,2000,1.7
AGO,2001,1.7
AGO,2002,1.7
AGO,2003,1.8
AGO,2004,1.8
AGO,2005,1.9
AGO,2006,1.9
AGO,2007,1.9
AGO,2008,1.9
AGO,2009,1.9
AGO,2010,1.9
AGO,2011,1.9
AGO,2012,1.9
AGO,2013,1.9
AGO,2014,1.9
AGO,2015,1.872
AGO,2016,1.872
AGO,2017,1.872
AGO,2018,1.872
AGO,2019,1.872
ALB,2000,11.0
ALB,2001,10.5
ALB,2002,10.0
ALB,2003,9.5
ALB,2004,8.9
ALB,2005,8.4
ALB,2006,7.7
ALB,2007,7.6
ALB,2008,7.5
ALB,2009,7.5
ALB,2010,7.4
ALB,2011,7.3
ALB,2012,7.2
ALB,2013,7.1
ALB,2014,7.0
ALB,2015,5.53
ALB,2016,5.46
ALB,2017,7.14
ALB,2018,5.76
ALB,2019,5.76
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,1556.0
ARE,2001,1542.8
ARE,2002,1529.6
ARE,2003,1516.4
ARE,2004,1503.2
ARE,2005,1490.0
ARE,2006,1514.5
ARE,2007,1539.0
ARE,2008,1563.5
ARE,2009,1587.9
ARE,2010,1612.4
ARE,2011,1636.9
ARE,2012,1661.4
ARE,2013,1685.9
ARE,2014,1710.4
ARE,2015,1769.09
ARE,2016,1759.33
ARE,2017,1708.0
ARE,2018,1667.33
ARE,2019,1667.33
ARG,2000,8.42
ARG,2001,8.61
ARG,2002,8.8
ARG,2003,8.98
ARG,2004,9.16
ARG,2005,9.35
ARG,2006,9.53
ARG,2007,9.72
ARG,2008,9.9
ARG,2009,10.09
ARG,2010,10.27
ARG,2011,10.5
ARG,2012,10.5
ARG,2013,10.5
ARG,2014,10.5
ARG,2015,10.46
ARG,2016,10.46
ARG,2017,10.46
ARG,2018,10.46
ARG,2019,10.46
ARM,2000,37.7
ARM,2001,34.8
ARM,2002,34.9
ARM,2003,39.9
ARM,2004,50.5
ARM,2005,55.9
ARM,2006,57.0
ARM,2007,60.8
ARM,2008,58.0
ARM,2009,49.7
ARM,2010,42.9
ARM,2011,49.2
ARM,2012,59.3
ARM,2013,59.6
ARM,2014,57.7
ARM,2015,66.01
ARM,2016,64.19
ARM,2017,57.8
ARM,2018,54.75
ARM,2019,54.75
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,7.8
ATG,2001,8.2
ATG,2002,8.6
ATG,2003,9.0
ATG,2004,9.4
ATG,2005,9.8
ATG,2006,9.6
ATG,2007,9.4
ATG,2008,9.2
ATG,2009,9.0
ATG,2010,8.9
ATG,2011,8.7
ATG,2012,8.5
ATG,2013,8.5
ATG,2014,8.5
ATG,2015,8.5
ATG,2016,8.5
ATG,2017,8.5
ATG,2018,8.46
ATG,2019,8.46
AUS,2000,8.7
AUS,2001,8.6
AUS,2002,8.3
AUS,2003,8.0
AUS,2004,7.7
AUS,2005,7.5
AUS,2006,7.0
AUS,2007,6.5
AUS,2008,6.0
AUS,2009,5.5
AUS,2010,5.3
AUS,2011,5.2
AUS,2012,6.2
AUS,2013,7.7
AUS,2014,7.3
AUS,2015,6.74
AUS,2016,6.24
AUS,2017,6.4
AUS,2018,4.66
AUS,2019,4.66
AUT,2000,10.1
AUT,2001,10.1
AUT,2002,10.1
AUT,2003,9.8
AUT,2004,9.7
AUT,2005,9.6
AUT,2006,9.5
AUT,2007,9.4
AUT,2008,9.3
AUT,2009,9.5
AUT,2010,9.6
AUT,2011,9.6
AUT,2012,9.6
AUT,2013,9.6
AUT,2014,9.6
AUT,2015,9.64
AUT,2016,9.64
AUT,2017,9.64
AUT,2018,9.64
AUT,2019,9.64
AZE,2000,49.1
AZE,2001,44.2
AZE,2002,44.5
AZE,2003,47.6
AZE,2004,50.8
AZE,2005,53.2
AZE,2006,54.6
AZE,2007,54.2
AZE,2008,51.8
AZE,2009,50.5
AZE,2010,51.1
AZE,2011,52.0
AZE,2012,52.9
AZE,2013,55.2
AZE,2014,53.5
AZE,2015,54.25
AZE,2016,55.21
AZE,2017,56.44
AZE,2018,53.73
AZE,2019,53.73
BDI,2000,10.5
BDI,2001,10.4
BDI,2002,10.4
BDI,2003,10.3
BDI,2004,10.3
BDI,2005,10.2
BDI,2006,10.2
BDI,2007,10.2
BDI,2008,10.2
BDI,2009,10.2
BDI,2010,10.2
BDI,2011,10.2
BDI,2012,10.2
BDI,2013,10.2
BDI,2014,10.2
BDI,2015,10.19
BDI,2016,10.19
BDI,2017,10.19
BDI,2018,10.19
BDI,2019,10.19
BEL,2000,92.5
BEL,2001,87.6
BEL,2002,82.7
BEL,2003,81.3
BEL,2004,79.9
BEL,2005,78.5
BEL,2006,77.4
BEL,2007,76.3
BEL,2008,75.3
BEL,2009,73.7
BEL,2010,73.1
BEL,2011,62.4
BEL,2012,65.1
BEL,2013,59.3
BEL,2014,56.0
BEL,2015,49.07
BEL,2016,49.07
BEL,2017,49.07
BEL,2018,49.07
BEL,2019,49.07
BEN,2000,1.0
BEN,2001,1.0
BEN,2002,1.0
BEN,2003,1.0
BEN,2004,1.0
BEN,2005,1.0
BEN,2006,1.0
BEN,2007,1.0
BEN,2008,1.0
BEN,2009,1.0
BEN,2010,1.0
BEN,2011,1.0
BEN,2012,1.0
BEN,2013,1.0
BEN,2014,1.0
BEN,2015,0.98
BEN,2016,0.98
BEN,2017,0.98
BEN,2018,0.98
BEN,2019,0.98
BFA,2000,6.5
BFA,2001,6.8
BFA,2002,7.1
BFA,2003,7.3
BFA,2004,7.6
BFA,2005,7.8
BFA,2006,7.8
BFA,2007,7.8
BFA,2008,7.8
BFA,2009,7.8
BFA,2010,7.8
BFA,2011,7.8
BFA,2012,7.8
BFA,2013,7.8
BFA,2014,7.8
BFA,2015,7.81
BFA,2016,7.81
BFA,2017,7.81
BFA,2018,7.81
BFA,2019,7.81
BGD,2000,5.7
BGD,2001,5.7
BGD,2002,5.7
BGD,2003,5.7
BGD,2004,5.7
BGD,2005,5.7
BGD,2006,5.7
BGD,2007,5.7
BGD,2008,5.7
BGD,2009,5.7
BGD,2010,5.7
BGD,2011,5.7
BGD,2012,5.7
BGD,2013,5.7
BGD,2014,5.7
BGD,2015,5.72
BGD,2016,5.72
BGD,2017,5.72
BGD,2018,5.72
BGD,2019,5.72
BGR,2000,45.3
BGR,2001,43.1
BGR,2002,48.7
BGR,2003,48.1
BGR,2004,47.6
BGR,2005,47.0
BGR,2006,46.4
BGR,2007,45.8
BGR,2008,47.5
BGR,2009,45.2
BGR,2010,44.1
BGR,2011,47.2
BGR,2012,42.2
BGR,2013,40.4
BGR,2014,39.7
BGR,2015,41.61
BGR,2016,42.05
BGR,2017,41.82
BGR,2018,40.1
BGR,2019,40.1
BHR,2000,248.9
BHR,2001,234.8
BHR,2002,220.6
BHR,2003,205.8
BHR,2004,201.1
BHR,2005,196.4
BHR,2006,191.8
BHR,2007,187.1
BHR,2008,182.4
BHR,2009,177.8
BHR,2010,173.1
BHR,2011,168.4
BHR,2012,163.7
BHR,2013,159.1
BHR,2014,154.4
BHR,2015,137.16
BHR,2016,133.71
BHR,2017,133.71
BHR,2018,133.71
BHR,2019,133.71
BHS,2000,0.0
BHS,2001,0.0
BHS,2002,0.0
BHS,2003,0.0
BHS,2004,0.0
BHS,2005,0.0
BHS,2006,0.0
BHS,2007,0.0
BHS,2008,0.0
BHS,2009,0.0
BHS,2010,0.0
BHS,2011,0.0
BHS,2012,0.0
BHS,2013,0.0
BHS,2014,0.0
BHS,2015,0.0
BHS,2016,0.0
BHS,2017,0.0
BHS,2018,0.0
BHS,2019,0.0
BIH,2000,2.5
BIH,2001,2.5
BIH,2002,2.5
BIH,2003,2.5
BIH,2004,2.5
BIH,2005,2.5
BIH,2006,2.5
BIH,2007,2.6
BIH,2008,2.6
BIH,2009,2.9
BIH,2010,2.9
BIH,2011,2.8
BIH,2012,2.9
BIH,2013,2.9
BIH,2014,2.7
BIH,2015,2.78
BIH,2016,2.79
BIH,2017,2.66
BIH,2018,2.66
BIH,2019,2.66
BLR,2000,6.1
BLR,2001,6.0
BLR,2002,5.9
BLR,2003,5.8
BLR,2004,5.7
BLR,2005,5.6
BLR,2006,5.5
BLR,2007,5.4
BLR,2008,5.3
BLR,2009,5.2
BLR,2010,5.1
BLR,2011,5.1
BLR,2012,5.0
BLR,2013,5.0
BLR,2014,5.2
BLR,2015,4.77
BLR,2016,4.79
BLR,2017,4.6
BLR,2018,4.58
BLR,2019,4.58
BLZ,2000,1.3
BLZ,2001,1.3
BLZ,2002,1.3
BLZ,2003,1.3
BLZ,2004,1.3
BLZ,2005,1.3
BLZ,2006,1.3
BLZ,2007,1.3
BLZ,2008,1.3
BLZ,2009,1.3
BLZ,2010,1.3
BLZ,2011,1.3
BLZ,2012,1.3
BLZ,2013,1.3
BLZ,2014,1.3
BLZ,2015,1.26
BLZ,2016,1.26
BLZ,2017,1.26
BLZ,2018,1.26
BLZ,2019,1.26
BMU,2000,3.9
BMU,2001,3.9
BMU,2002,3.9
BMU,2003,3.9
BMU,2004,3.9
BMU,2005,3.9
BMU,2006,4.3
BMU,2007,3.9
BMU,2008,3.4
BMU,2009,4.2
BMU,2010,4.2
BMU,2011,4.2
BMU,2012,4.2
BMU,2013,4.2
BMU,2014,4.2
BMU,2015,4.24
BMU,2016,4.24
BMU,2017,4.24
BMU,2018,4.24
BMU,2019,4.24
BOL,2000,1.1
BOL,2001,1.1
BOL,2002,1.1
BOL,2003,1.1
BOL,2004,1.1
BOL,2005,1.2
BOL,2006,1.2
BOL,2007,1.2
BOL,2008,1.2
BOL,2009,1.2
BOL,2010,1.2
BOL,2011,1.2
BOL,2012,1.2
BOL,2013,1.2
BOL,2014,1.2
BOL,2015,1.18
BOL,2016,1.18
BOL,2017,1.18
BOL,2018,1.18
BOL,2019,1.18
BRA,2000,2.7
BRA,2001,2.7
BRA,2002,2.7
BRA,2003,2.7
BRA,2004,2.7
BRA,2005,2.7
BRA,2006,2.7
BRA,2007,2.9
BRA,2008,3.1
BRA,2009,3.3
BRA,2010,3.5
BRA,2011,3.4
BRA,2012,3.3
BRA,2013,3.2
BRA,2014,3.1
BRA,2015,3.02
BRA,2016,3.0
BRA,2017,3.11
BRA,2018,3.05
BRA,2019,3.05
BRB,2000,101.3
BRB,2001,101.3
BRB,2002,101.3
BRB,2003,101.3
BRB,2004,101.3
BRB,2005,87.5
BRB,2006,87.5
BRB,2007,87.5
BRB,2008,87.5
BRB,2009,87.5
BRB,2010,87.5
BRB,2011,87.5
BRB,2012,87.5
BRB,2013,87.5
BRB,2014,87.5
BRB,2015,87.5
BRB,2016,87.5
BRB,2017,87.5
BRB,2018,87.5
BRB,2019,87.5
BRN,2000,3.5
BRN,2001,3.5
BRN,2002,3.5
BRN,2003,3.5
BRN,2004,3.5
BRN,2005,3.5
BRN,2006,3.5
BRN,2007,3.5
BRN,2008,3.5
BRN,2009,3.5
BRN,2010,3.5
BRN,2011,3.5
BRN,2012,3.5
BRN,2013,3.5
BRN,2014,3.5
BRN,2015,3.47
BRN,2016,3.47
BRN,2017,3.47
BRN,2018,3.47
BRN,2019,3.47
BTN,2000,1.4
BTN,2001,1.4
BTN,2002,1.4
BTN,2003,1.4
BTN,2004,1.4
BTN,2005,1.4
BTN,2006,1.4
BTN,2007,1.4
BTN,2008,1.4
BTN,2009,1.4
BTN,2010,1.4
BTN,2011,1.4
BTN,2012,1.4
BTN,2013,1.4
BTN,2014,1.4
BTN,2015,1.41
BTN,2016,1.41
BTN,2017,1.41
BTN,2018,1.41
BTN,2019,1.41
BWA,2000,2.0
BWA,2001,2.0
BWA,2002,2.0
BWA,2003,2.0
BWA,2004,2.0
BWA,2005,2.0
BWA,2006,2.0
BWA,2007,2.0
BWA,2008,2.1
BWA,2009,2.1
BWA,2010,2.1
BWA,2011,2.1
BWA,2012,2.0
BWA,2013,2.0
BWA,2014,2.0
BWA,2015,1.96
BWA,2016,2.1
BWA,2017,2.02
BWA,2018,2.02
BWA,2019,2.02
CAF,2000,0.3
CAF,2001,0.3
CAF,2002,0.3
CAF,2003,0.3
CAF,2004,0.3
CAF,2005,0.3
CAF,2006,0.3
CAF,2007,0.3
CAF,2008,0.3
CAF,2009,0.3
CAF,2010,0.3
CAF,2011,0.3
CAF,2012,0.3
CAF,2013,0.3
CAF,2014,0.3
CAF,2015,0.34
CAF,2016,0.34
CAF,2017,0.34
CAF,2018,0.34
CAF,2019,0.34
CAN,2000,4.3
CAN,2001,4.3
CAN,2002,4.3
CAN,2003,4.3
CAN,2004,4.3
CAN,2005,4.3
CAN,2006,4.3
CAN,2007,4.3
CAN,2008,4.1
CAN,2009,4.0
CAN,2010,3.8
CAN,2011,3.7
CAN,2012,3.8
CAN,2013,3.8
CAN,2014,3.8
CAN,2015,3.68
CAN,2016,3.67
CAN,2017,3.67
CAN,2018,3.67
CAN,2019,3.67
CHE,2000,9.3
CHE,2001,9.2
CHE,2002,9.1
CHE,2003,8.9
CHE,2004,8.8
CHE,2005,8.6
CHE,2006,8.5
CHE,2007,8.3
CHE,2008,8.2
CHE,2009,8.1
CHE,2010,7.9
CHE,2011,7.8
CHE,2012,7.6
CHE,2013,7.6
CHE,2014,7.6
CHE,2015,6.5
CHE,2016,6.5
CHE,2017,6.5
CHE,2018,6.5
CHE,2019,6.5
CHL,2000,7.35
CHL,2001,7.62
CHL,2002,7.9
CHL,2003,8.17
CHL,2004,8.44
CHL,2005,8.72
CHL,2006,8.98
CHL,2007,10.25
CHL,2008,11.51
CHL,2009,12.77
CHL,2010,14.04
CHL,2011,15.3
CHL,2012,16.56
CHL,2013,17.83
CHL,2014,19.09
CHL,2015,20.36
CHL,2016,21.62
CHL,2017,21.62
CHL,2018,21.62
CHL,2019,21.62
CIV,2000,6.2
CIV,2001,6.3
CIV,2002,6.4
CIV,2003,6.5
CIV,2004,6.7
CIV,2005,6.8
CIV,2006,6.6
CIV,2007,6.4
CIV,2008,6.2
CIV,2009,6.0
CIV,2010,5.8
CIV,2011,5.6
CIV,2012,5.5
CIV,2013,5.3
CIV,2014,5.1
CIV,2015,5.09
CIV,2016,5.09
CIV,2017,5.09
CIV,2018,5.09
CIV,2019,5.09
CMR,2000,1.4
CMR,2001,1.5
CMR,2002,1.5
CMR,2003,1.5
CMR,2004,1.6
CMR,2005,1.6
CMR,2006,1.6
CMR,2007,1.6
CMR,2008,1.6
CMR,2009,1.6
CMR,2010,1.6
CMR,2011,1.6
CMR,2012,1.6
CMR,2013,1.6
CMR,2014,1.6
CMR,2015,1.56
CMR,2016,1.56
CMR,2017,1.56
CMR,2018,1.56
CMR,2019,1.56
COD,2000,0.2
COD,2001,0.2
COD,2002,0.2
COD,2003,0.2
COD,2004,0.2
COD,2005,0.2
COD,2006,0.2
COD,2007,0.2
COD,2008,0.2
COD,2009,0.2
COD,2010,0.2
COD,2011,0.2
COD,2012,0.2
COD,2013,0.2
COD,2014,0.2
COD,2015,0.23
COD,2016,0.23
COD,2017,0.23
COD,2018,0.23
COD,2019,0.23
COG,2000,0.0
COG,2001,0.0
COG,2002,0.0
COG,2003,0.0
COG,2004,0.0
COG,2005,0.0
COG,2006,0.0
COG,2007,0.0
COG,2008,0.0
COG,2009,0.0
COG,2010,0.0
COG,2011,0.0
COG,2012,0.0
COG,2013,0.0
COG,2014,0.0
COG,2015,0.03
COG,2016,0.03
COG,2017,0.03
COG,2018,0.03
COG,2019,0.03
COK,2000,0.0
COK,2001,0.0
COK,2002,0.0
COK,2003,0.0
COK,2004,0.0
COK,2005,0.0
COK,2006,0.0
COK,2007,0.0
COK,2008,0.0
COK,2009,0.0
COK,2010,0.0
COK,2011,0.0
COK,2012,0.0
COK,2013,0.0
COK,2014,0.0
COK,2015,0.0
COK,2016,0.0
COK,2017,0.0
COK,2018,0.0
COK,2019,0.0
COL,2000,1.2
COL,2001,1.2
COL,2002,1.3
COL,2003,1.4
COL,2004,1.5
COL,2005,1.5
COL,2006,1.6
COL,2007,1.7
COL,2008,1.8
COL,2009,1.8
COL,2010,1.8
COL,2011,1.8
COL,2012,1.8
COL,2013,1.8
COL,2014,1.8
COL,2015,2.0
COL,2016,2.04
COL,2017,2.04
COL,2018,2.04
COL,2019,2.04
COM,2000,0.8
COM,2001,0.8
COM,2002,0.8
COM,2003,0.8
COM,2004,0.8
COM,2005,0.8
COM,2006,0.8
COM,2007,0.8
COM,2008,0.8
COM,2009,0.8
COM,2010,0.8
COM,2011,0.8
COM,2012,0.8
COM,2013,0.8
COM,2014,0.8
COM,2015,0.83
COM,2016,0.83
COM,2017,0.83
COM,2018,0.83
COM,2019,0.83
CPV,2000,6.1
CPV,2001,7.2
CPV,2002,7.6
CPV,2003,8.0
CPV,2004,8.4
CPV,2005,8.4
CPV,2006,8.4
CPV,2007,8.4
CPV,2008,8.4
CPV,2009,8.4
CPV,2010,8.4
CPV,2011,8.4
CPV,2012,8.4
CPV,2013,8.4
CPV,2014,8.4
CPV,2015,8.43
CPV,2016,8.43
CPV,2017,8.43
CPV,2018,8.43
CPV,2019,8.43
CRI,2000,1.2
CRI,2001,1.2
CRI,2002,1.2
CRI,2003,1.2
CRI,2004,1.2
CRI,2005,1.1
CRI,2006,1.1
CRI,2007,1.1
CRI,2008,1.1
CRI,2009,1.1
CRI,2010,1.0
CRI,2011,1.0
CRI,2012,4.0
CRI,2013,4.0
CRI,2014,4.7
CRI,2015,5.45
CRI,2016,5.0
CRI,2017,4.56
CRI,2018,4.11
CRI,2019,4.11
CUB,2000,18.0
CUB,2001,18.0
CUB,2002,18.0
CUB,2003,18.1
CUB,2004,18.1
CUB,2005,18.1
CUB,2006,18.1
CUB,2007,17.0
CUB,2008,19.7
CUB,2009,20.8
CUB,2010,20.7
CUB,2011,21.8
CUB,2012,22.9
CUB,2013,23.9
CUB,2014,23.9
CUB,2015,23.94
CUB,2016,23.94
CUB,2017,23.94
CUB,2018,23.94
CUB,2019,23.94
CYM,2000,0.0
CYM,2001,0.0
CYM,2002,0.0
CYM,2003,0.0
CYM,2004,0.0
CYM,2005,0.0
CYM,2006,0.0
CYM,2007,0.0
CYM,2008,0.0
CYM,2009,0.0
CYM,2010,0.0
CYM,2011,0.0
CYM,2012,0.0
CYM,2013,0.0
CYM,2014,0.0
CYM,2015,0.0
CYM,2016,0.0
CYM,2017,0.0
CYM,2018,0.0
CYM,2019,0.0
CYP,2000,22.0
CYP,2001,20.5
CYP,2002,23.3
CYP,2003,23.2
CYP,2004,23.0
CYP,2005,22.8
CYP,2006,22.6
CYP,2007,22.4
CYP,2008,21.9
CYP,2009,25.2
CYP,2010,27.5
CYP,2011,30.2
CYP,2012,34.9
CYP,2013,28.3
CYP,2014,29.7
CYP,2015,31.71
CYP,2016,29.8
CYP,2017,29.52
CYP,2018,28.29
CYP,2019,28.29
CZE,2000,32.6
CZE,2001,30.8
CZE,2002,29.0
CZE,2003,29.2
CZE,2004,29.4
CZE,2005,29.6
CZE,2006,29.8
CZE,2007,30.0
CZE,2008,30.2
CZE,2009,29.6
CZE,2010,29.7
CZE,2011,28.7
CZE,2012,28.0
CZE,2013,25.1
CZE,2014,25.1
CZE,2015,24.33
CZE,2016,24.79
CZE,2017,24.79
CZE,2018,24.19
CZE,2019,24.19
DEU,2000,53.2
DEU,2001,51.9
DEU,2002,50.7
DEU,2003,49.4
DEU,2004,48.1
DEU,2005,46.8
DEU,2006,45.5
DEU,2007,44.2
DEU,2008,44.5
DEU,2009,44.9
DEU,2010,45.2
DEU,2011,41.7
DEU,2012,38.2
DEU,2013,34.7
DEU,2014,34.3
DEU,2015,33.91
DEU,2016,33.5
DEU,2017,33.5
DEU,2018,33.5
DEU,2019,33.5
DJI,2000,6.3
DJI,2001,6.3
DJI,2002,6.3
DJI,2003,6.3
DJI,2004,6.3
DJI,2005,6.3
DJI,2006,6.3
DJI,2007,6.3
DJI,2008,6.3
DJI,2009,6.3
DJI,2010,6.3
DJI,2011,6.3
DJI,2012,6.3
DJI,2013,6.3
DJI,2014,6.3
DJI,2015,6.33
DJI,2016,6.33
DJI,2017,6.33
DJI,2018,6.33
DJI,2019,6.33
DMA,2000,8.3
DMA,2001,8.3
DMA,2002,8.3
DMA,2003,8.3
DMA,2004,8.3
DMA,2005,8.6
DMA,2006,8.9
DMA,2007,9.2
DMA,2008,9.4
DMA,2009,9.7
DMA,2010,10.0
DMA,2011,10.0
DMA,2012,10.0
DMA,2013,10.0
DMA,2014,10.0
DMA,2015,10.0
DMA,2016,10.0
DMA,2017,10.0
DMA,2018,10.0
DMA,2019,10.0
DNK,2000,20.5
DNK,2001,19.1
DNK,2002,17.7
DNK,2003,17.5
DNK,2004,17.2
DNK,2005,17.0
DNK,2006,16.0
DNK,2007,15.0
DNK,2008,18.4
DNK,2009,17.4
DNK,2010,21.9
DNK,2011,23.4
DNK,2012,19.7
DNK,2013,27.3
DNK,2014,26.7
DNK,2015,21.95
DNK,2016,20.04
DNK,2017,24.49
DNK,2018,28.93
DNK,2019,28.93
DOM,2000,27.0
DOM,2001,27.6
DOM,2002,28.3
DOM,2003,29.0
DOM,2004,29.6
DOM,2005,30.3
DOM,2006,32.2
DOM,2007,34.1
DOM,2008,35.9
DOM,2009,37.8
DOM,2010,39.7
DOM,2011,41.8
DOM,2012,43.9
DOM,2013,46.0
DOM,2014,48.2
DOM,2015,50.31
DOM,2016,50.31
DOM,2017,50.31
DOM,2018,50.31
DOM,2019,50.31
DZA,2000,79.3
DZA,2001,81.7
DZA,2002,85.0
DZA,2003,87.5
DZA,2004,90.0
DZA,2005,92.5
