ISO,Year,TWW
ABW,2000,0.0
ABW,2001,0.0
ABW,2002,0.0
ABW,2003,0.0
ABW,2004,0.0
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
AFG,2000,20.28
AFG,2001,20.28
AFG,2002,20.28
AFG,2003,20.28
AFG,2004,20.28
AFG,2005,20.28
AFG,2006,20.28
AFG,2007,20.28
AFG,2008,20.28
AFG,2009,20.28
AFG,2010,20.28
AFG,2011,20.28
AFG,2012,20.28
AFG,2013,20.28
AFG,2014,20.28
AFG,2015,20.28
AFG,2016,20.28
AFG,2017,20.28
AFG,2018,20.28
AFG,2019,20.28
AGO,2000,0.6404
AGO,2001,0.6404
AGO,2002,0.6404
AGO,2003,0.6404
AGO,2004,0.6404
AGO,2005,0.7057
AGO,2006,0.7057
AGO,2007,0.7057
AGO,2008,0.7057
AGO,2009,0.7057
AGO,2010,0.7057
AGO,2011,0.7057
AGO,2012,0.7057
AGO,2013,0.7057
AGO,2014,0.7057
AGO,2015,0.7057
AGO,2016,0.7057
AGO,2017,0.7057
AGO,2018,0.7057
AGO,2019,0.7057
ALB,2000,1.838
ALB,2001,1.838
ALB,2002,1.838
ALB,2003,1.838
ALB,2004,1.838
ALB,2005,1.838
ALB,2006,1.311
ALB,2007,1.311
ALB,2008,1.311
ALB,2009,1.311
ALB,2010,1.311
ALB,2011,1.311
ALB,2012,1.311
ALB,2013,1.311
ALB,2014,1.311
ALB,2015,1.311
ALB,2016,1.311
ALB,2017,1.188
ALB,2018,1.188
ALB,2019,1.188
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,0.0
AND,2013,0.0
AND,2014,0.0
AND,2015,0.0
AND,2016,0.0
AND,2017,0.0
AND,2018,0.0
AND,2019,0.0
ARE,2000,2.334
ARE,2001,2.334
ARE,2002,2.334
ARE,2003,2.334
ARE,2004,2.334
ARE,2005,2.235
ARE,2006,2.235
ARE,2007,2.235
ARE,2008,2.235
ARE,2009,2.235
ARE,2010,2.235
ARE,2011,2.235
ARE,2012,2.235
ARE,2013,2.235
ARE,2014,2.235
ARE,2015,2.235
ARE,2016,2.235
ARE,2017,2.562
ARE,2018,2.562
ARE,2019,2.562
ARG,2000,37.69
ARG,2001,37.69
ARG,2002,37.69
ARG,2003,37.69
ARG,2004,37.69
ARG,2005,37.69
ARG,2006,37.69
ARG,2007,37.69
ARG,2008,37.69
ARG,2009,37.69
ARG,2010,37.69
ARG,2011,37.69
ARG,2012,37.69
ARG,2013,37.69
ARG,2014,37.69
ARG,2015,37.69
ARG,2016,37.69
ARG,2017,37.69
ARG,2018,37.69
ARG,2019,37.69
ARM,2000,1.732
ARM,2001,1.732
ARM,2002,1.732
ARM,2003,1.732
ARM,2004,1.732
ARM,2005,1.732
ARM,2006,1.732
ARM,2007,2.858
ARM,2008,2.858
ARM,2009,2.858
ARM,2010,2.858
ARM,2011,2.858
ARM,2012,2.941
ARM,2013,2.941
ARM,2014,2.941
ARM,2015,2.941
ARM,2016,2.941
ARM,2017,2.865
ARM,2018,2.865
ARM,2019,2.865
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ATG,2000,0.0051
ATG,2001,0.0051
ATG,2002,0.0051
ATG,2003,0.0051
ATG,2004,0.0051
ATG,2005,0.0051
ATG,2006,0.0051
ATG,2007,0.0051
ATG,2008,0.0051
ATG,2009,0.0051
ATG,2010,0.0051
ATG,2011,0.0051
ATG,2012,0.0044
ATG,2013,0.0044
ATG,2014,0.0044
ATG,2015,0.0044
ATG,2016,0.0044
ATG,2017,0.0044
ATG,2018,0.0044
ATG,2019,0.0044
AUS,2000,21.5
AUS,2001,21.5
AUS,2002,21.5
AUS,2003,21.5
AUS,2004,21.5
AUS,2005,18.51
AUS,2006,18.51
AUS,2007,18.51
AUS,2008,18.51
AUS,2009,18.51
AUS,2010,18.51
AUS,2011,18.51
AUS,2012,15.45
AUS,2013,15.45
AUS,2014,15.45
AUS,2015,15.45
AUS,2016,15.45
AUS,2017,15.94
AUS,2018,15.94
AUS,2019,15.94
AUT,2000,3.666
AUT,2001,3.666
AUT,2002,3.666
AUT,2003,3.666
AUT,2004,3.666
AUT,2005,3.666
AUT,2006,3.666
AUT,2007,3.666
AUT,2008,3.666
AUT,2009,3.666
AUT,2010,3.492
AUT,2011,3.492
AUT,2012,3.492
AUT,2013,3.492
AUT,2014,3.492
AUT,2015,3.492
AUT,2016,3.492
AUT,2017,3.492
AUT,2018,3.492
AUT,2019,3.492
AZE,2000,10.07
AZE,2001,10.07
AZE,2002,10.07
AZE,2003,10.07
AZE,2004,10.07
AZE,2005,10.07
AZE,2006,10.07
AZE,2007,12.27
AZE,2008,12.27
AZE,2009,12.27
AZE,2010,12.27
AZE,2011,12.27
AZE,2012,11.97
AZE,2013,11.97
AZE,2014,11.97
AZE,2015,11.97
AZE,2016,11.97
AZE,2017,12.78
AZE,2018,12.78
AZE,2019,12.78
BDI,2000,0.288
BDI,2001,0.288
BDI,2002,0.288
BDI,2003,0.288
BDI,2004,0.288
BDI,2005,0.288
BDI,2006,0.288
BDI,2007,0.288
BDI,2008,0.288
BDI,2009,0.288
BDI,2010,0.288
BDI,2011,0.288
BDI,2012,0.288
BDI,2013,0.288
BDI,2014,0.288
BDI,2015,0.288
BDI,2016,0.288
BDI,2017,0.288
BDI,2018,0.288
BDI,2019,0.288
BEL,2000,6.735
BEL,2001,6.735
BEL,2002,6.735
BEL,2003,6.735
BEL,2004,6.735
BEL,2005,6.735
BEL,2006,6.735
BEL,2007,6.214
BEL,2008,6.214
BEL,2009,6.214
BEL,2010,6.214
BEL,2011,6.214
BEL,2012,5.3
BEL,2013,5.3
BEL,2014,5.3
BEL,2015,3.994
BEL,2016,3.994
BEL,2017,3.994
BEL,2018,3.994
BEL,2019,3.994
BEN,2000,0.13
BEN,2001,0.13
BEN,2002,0.13
BEN,2003,0.13
BEN,2004,0.13
BEN,2005,0.13
BEN,2006,0.13
BEN,2007,0.13
BEN,2008,0.13
BEN,2009,0.13
BEN,2010,0.13
BEN,2011,0.13
BEN,2012,0.13
BEN,2013,0.13
BEN,2014,0.13
BEN,2015,0.13
BEN,2016,0.13
BEN,2017,0.13
BEN,2018,0.13
BEN,2019,0.13
BFA,2000,0.7157
BFA,2001,0.7157
BFA,2002,0.7157
BFA,2003,0.7157
BFA,2004,0.7157
BFA,2005,0.818
BFA,2006,0.818
BFA,2007,0.818
BFA,2008,0.818
BFA,2009,0.818
BFA,2010,0.818
BFA,2011,0.818
BFA,2012,0.818
BFA,2013,0.818
BFA,2014,0.818
BFA,2015,0.818
BFA,2016,0.818
BFA,2017,0.818
BFA,2018,0.818
BFA,2019,0.818
BGD,2000,35.87
BGD,2001,35.87
BGD,2002,35.87
BGD,2003,35.87
BGD,2004,35.87
BGD,2005,35.87
BGD,2006,35.87
BGD,2007,35.87
BGD,2008,35.87
BGD,2009,35.87
BGD,2010,35.87
BGD,2011,35.87
BGD,2012,35.87
BGD,2013,35.87
BGD,2014,35.87
BGD,2015,35.87
BGD,2016,35.87
BGD,2017,35.87
BGD,2018,35.87
BGD,2019,35.87
BGR,2000,6.589
BGR,2001,6.589
BGR,2002,6.589
BGR,2003,6.589
BGR,2004,6.589
BGR,2005,6.589
BGR,2006,6.589
BGR,2007,6.202
BGR,2008,6.202
BGR,2009,6.202
BGR,2010,6.202
BGR,2011,6.202
BGR,2012,5.715
BGR,2013,5.715
BGR,2014,5.715
BGR,2015,5.715
BGR,2016,5.715
BGR,2017,5.658
BGR,2018,5.658
BGR,2019,5.658
BHR,2000,0.2387
BHR,2001,0.2387
BHR,2002,0.2387
BHR,2003,0.2387
BHR,2004,0.2387
BHR,2005,0.2387
BHR,2006,0.2387
BHR,2007,0.2387
BHR,2008,0.2387
BHR,2009,0.2387
BHR,2010,0.2387
BHR,2011,0.2387
BHR,2012,0.2387
BHR,2013,0.2387
BHR,2014,0.2387
BHR,2015,0.2387
BHR,2016,0.1533
BHR,2017,0.1533
BHR,2018,0.1533
BHR,2019,0.1533
BHS,2000,0.0
BHS,2001,0.0
BHS,2002,0.0
BHS,2003,0.0
BHS,2004,0.0
BHS,2005,0.0
BHS,2006,0.0
BHS,2007,0.0
BHS,2008,0.0
BHS,2009,0.0
BHS,2010,0.0
BHS,2011,0.0
BHS,2012,0.0
BHS,2013,0.0
BHS,2014,0.0
BHS,2015,0.0
BHS,2016,0.0
BHS,2017,0.0
BHS,2018,0.0
BHS,2019,0.0
BIH,2000,0.3755
BIH,2001,0.3755
BIH,2002,0.3755
BIH,2003,0.3755
BIH,2004,0.3755
BIH,2005,0.3755
BIH,2006,0.3755
BIH,2007,0.3896
BIH,2008,0.3896
BIH,2009,0.3896
BIH,2010,0.3896
BIH,2011,0.3896
BIH,2012,0.4377
BIH,2013,0.4377
BIH,2014,0.4377
BIH,2015,0.4377
BIH,2016,0.4377
BIH,2017,0.4009
BIH,2018,0.4009
BIH,2019,0.4009
BLR,2000,1.837
BLR,2001,1.837
BLR,2002,1.837
BLR,2003,1.837
BLR,2004,1.837
BLR,2005,1.706
BLR,2006,1.706
BLR,2007,1.706
BLR,2008,1.706
BLR,2009,1.706
BLR,2010,1.548
BLR,2011,1.548
BLR,2012,1.548
BLR,2013,1.548
BLR,2014,1.548
BLR,2015,1.548
BLR,2016,1.548
BLR,2017,1.397
BLR,2018,1.397
BLR,2019,1.397
BLZ,2000,0.101
BLZ,2001,0.101
BLZ,2002,0.101
BLZ,2003,0.101
BLZ,2004,0.101
BLZ,2005,0.101
BLZ,2006,0.101
BLZ,2007,0.101
BLZ,2008,0.101
BLZ,2009,0.101
BLZ,2010,0.101
BLZ,2011,0.101
BLZ,2012,0.101
BLZ,2013,0.101
BLZ,2014,0.101
BLZ,2015,0.101
BLZ,2016,0.101
BLZ,2017,0.101
BLZ,2018,0.101
BLZ,2019,0.101
BMU,2000,0.0
BMU,2001,0.0
BMU,2002,0.0
BMU,2003,0.0
BMU,2004,0.0
BMU,2005,0.0
BMU,2006,0.0
BMU,2007,0.0
BMU,2008,0.0
BMU,2009,0.0
BMU,2010,0.0
BMU,2011,0.0
BMU,2012,0.0
BMU,2013,0.0
BMU,2014,0.0
BMU,2015,0.0
BMU,2016,0.0
BMU,2017,0.0
BMU,2018,0.0
BMU,2019,0.0
BOL,2000,2.088
BOL,2001,2.088
BOL,2002,2.088
BOL,2003,2.088
BOL,2004,2.088
BOL,2005,2.088
BOL,2006,2.088
BOL,2007,2.088
BOL,2008,2.088
BOL,2009,2.088
BOL,2010,2.088
BOL,2011,2.088
BOL,2012,2.088
BOL,2013,2.088
BOL,2014,2.088
BOL,2015,2.088
BOL,2016,2.088
BOL,2017,2.088
BOL,2018,2.088
BOL,2019,2.088
BRA,2000,58.07
BRA,2001,58.07
BRA,2002,58.07
BRA,2003,58.07
BRA,2004,58.07
BRA,2005,58.07
BRA,2006,58.07
BRA,2007,58.07
BRA,2008,58.07
BRA,2009,58.07
BRA,2010,74.78
BRA,2011,74.78
BRA,2012,74.78
BRA,2013,74.78
BRA,2014,74.78
BRA,2015,74.78
BRA,2016,74.78
BRA,2017,65.68
BRA,2018,65.68
BRA,2019,65.68
BRB,2000,0.07
BRB,2001,0.07
BRB,2002,0.07
BRB,2003,0.07
BRB,2004,0.07
BRB,2005,0.07
BRB,2006,0.07
BRB,2007,0.07
BRB,2008,0.07
BRB,2009,0.07
BRB,2010,0.07
BRB,2011,0.07
BRB,2012,0.07
BRB,2013,0.07
BRB,2014,0.07
BRB,2015,0.07
BRB,2016,0.07
BRB,2017,0.07
BRB,2018,0.07
BRB,2019,0.07
BRN,2000,0.0
BRN,2001,0.0
BRN,2002,0.0
BRN,2003,0.0
BRN,2004,0.0
BRN,2005,0.0
BRN,2006,0.0
BRN,2007,0.0
BRN,2008,0.0
BRN,2009,0.0
BRN,2010,0.0
BRN,2011,0.0
BRN,2012,0.0
BRN,2013,0.0
BRN,2014,0.0
BRN,2015,0.0
BRN,2016,0.0
BRN,2017,0.0
BRN,2018,0.0
BRN,2019,0.0
BTN,2000,0.3379
BTN,2001,0.3379
BTN,2002,0.3379
BTN,2003,0.3379
BTN,2004,0.3379
BTN,2005,0.3379
BTN,2006,0.3379
BTN,2007,0.3379
BTN,2008,0.3379
BTN,2009,0.3379
BTN,2010,0.3379
BTN,2011,0.3379
BTN,2012,0.3379
BTN,2013,0.3379
BTN,2014,0.3379
BTN,2015,0.3379
BTN,2016,0.3379
BTN,2017,0.3379
BTN,2018,0.3379
BTN,2019,0.3379
BWA,2000,0.194
BWA,2001,0.194
BWA,2002,0.194
BWA,2003,0.194
BWA,2004,0.194
BWA,2005,0.194
BWA,2006,0.194
BWA,2007,0.194
BWA,2008,0.194
BWA,2009,0.194
BWA,2010,0.194
BWA,2011,0.194
BWA,2012,0.1943
BWA,2013,0.1943
BWA,2014,0.1943
BWA,2015,0.1943
BWA,2016,0.1943
BWA,2017,0.193
BWA,2018,0.193
BWA,2019,0.193
CAF,2000,0.0662
CAF,2001,0.0662
CAF,2002,0.0662
CAF,2003,0.0662
CAF,2004,0.0662
CAF,2005,0.0725
CAF,2006,0.0725
CAF,2007,0.0725
CAF,2008,0.0725
CAF,2009,0.0725
CAF,2010,0.0725
CAF,2011,0.0725
CAF,2012,0.0725
CAF,2013,0.0725
CAF,2014,0.0725
CAF,2015,0.0725
CAF,2016,0.0725
CAF,2017,0.0725
CAF,2018,0.0725
CAF,2019,0.0725
CAN,2000,41.32
CAN,2001,41.32
CAN,2002,41.32
CAN,2003,41.32
CAN,2004,41.32
CAN,2005,41.32
CAN,2006,41.32
CAN,2007,41.32
CAN,2008,41.32
CAN,2009,41.32
CAN,2010,41.32
CAN,2011,35.6
CAN,2012,35.6
CAN,2013,35.6
CAN,2014,35.6
CAN,2015,35.6
CAN,2016,35.6
CAN,2017,35.6
CAN,2018,35.6
CAN,2019,35.6
CHE,2000,2.518
CHE,2001,2.518
CHE,2002,2.518
CHE,2003,2.518
CHE,2004,2.518
CHE,2005,2.518
CHE,2006,2.518
CHE,2007,2.518
CHE,2008,2.518
CHE,2009,2.518
CHE,2010,2.518
CHE,2011,2.518
CHE,2012,2.005
CHE,2013,2.005
CHE,2014,2.005
CHE,2015,2.005
CHE,2016,2.005
CHE,2017,2.005
CHE,2018,2.005
CHE,2019,2.005
CHL,2000,35.36
CHL,2001,35.36
CHL,2002,35.36
CHL,2003,35.36
CHL,2004,35.36
CHL,2005,35.36
CHL,2006,35.36
CHL,2007,35.36
CHL,2008,35.36
CHL,2009,35.36
CHL,2010,35.36
CHL,2011,35.36
CHL,2012,35.36
CHL,2013,35.36
CHL,2014,35.36
CHL,2015,35.36
CHL,2016,35.36
CHL,2017,35.36
CHL,2018,35.36
CHL,2019,35.36
CIV,2000,1.409
CIV,2001,1.409
CIV,2002,1.409
CIV,2003,1.409
CIV,2004,1.409
CIV,2005,1.549
CIV,2006,1.549
CIV,2007,1.549
CIV,2008,1.549
CIV,2009,1.549
CIV,2010,1.549
CIV,2011,1.549
CIV,2012,1.549
CIV,2013,1.549
CIV,2014,1.162
CIV,2015,1.162
CIV,2016,1.162
CIV,2017,1.162
CIV,2018,1.162
CIV,2019,1.162
CMR,2000,0.9664
CMR,2001,0.9664
CMR,2002,0.9664
CMR,2003,0.9664
CMR,2004,0.9664
CMR,2005,0.9664
CMR,2006,0.9664
CMR,2007,0.9664
CMR,2008,0.9664
CMR,2009,0.9664
CMR,2010,0.9664
CMR,2011,0.9664
CMR,2012,0.9664
CMR,2013,0.9664
CMR,2014,0.9664
CMR,2015,0.9664
CMR,2016,0.9664
CMR,2017,0.9664
CMR,2018,0.9664
CMR,2019,0.9664
COD,2000,0.5841
COD,2001,0.5841
COD,2002,0.5841
COD,2003,0.5841
COD,2004,0.5841
COD,2005,0.6836
COD,2006,0.6836
COD,2007,0.6836
COD,2008,0.6836
COD,2009,0.6836
COD,2010,0.6836
COD,2011,0.6836
COD,2012,0.6836
COD,2013,0.6836
COD,2014,0.6836
COD,2015,0.6836
COD,2016,0.6836
COD,2017,0.6836
COD,2018,0.6836
COD,2019,0.6836
COG,2000,0.046
COG,2001,0.046
COG,2002,0.046
COG,2003,0.046
COG,2004,0.046
COG,2005,0.046
COG,2006,0.046
COG,2007,0.046
COG,2008,0.046
COG,2009,0.046
COG,2010,0.046
COG,2011,0.046
COG,2012,0.046
COG,2013,0.046
COG,2014,0.046
COG,2015,0.046
COG,2016,0.046
COG,2017,0.046
COG,2018,0.046
COG,2019,0.046
COK,2000,0.0
COK,2001,0.0
COK,2002,0.0
COK,2003,0.0
COK,2004,0.0
COK,2005,0.0
COK,2006,0.0
COK,2007,0.0
COK,2008,0.0
COK,2009,0.0
COK,2010,0.0
COK,2011,0.0
COK,2012,0.0
COK,2013,0.0
COK,2014,0.0
COK,2015,0.0
COK,2016,0.0
COK,2017,0.0
COK,2018,0.0
COK,2019,0.0
COL,2000,7.746
COL,2001,7.746
COL,2002,7.746
COL,2003,7.746
COL,2004,7.746
COL,2005,7.746
COL,2006,7.746
COL,2007,7.746
COL,2008,11.77
COL,2009,11.77
COL,2010,11.77
COL,2011,11.77
COL,2012,11.77
COL,2013,11.77
COL,2014,11.77
COL,2015,11.77
COL,2016,11.77
COL,2017,11.77
COL,2018,11.77
COL,2019,11.77
COM,2000,0.0
COM,2001,0.0
COM,2002,0.0
COM,2003,0.0
COM,2004,0.0
COM,2005,0.0
COM,2006,0.0
COM,2007,0.0
COM,2008,0.0
COM,2009,0.0
COM,2010,0.0
COM,2011,0.0
COM,2012,0.0
COM,2013,0.0
COM,2014,0.0
COM,2015,0.0
COM,2016,0.0
COM,2017,0.0
COM,2018,0.0
COM,2019,0.0
CPV,2000,0.0203
CPV,2001,0.0203
CPV,2002,0.0203
CPV,2003,0.0203
CPV,2004,0.0203
CPV,2005,0.0203
CPV,2006,0.0203
CPV,2007,0.0203
CPV,2008,0.0203
CPV,2009,0.0203
CPV,2010,0.0203
CPV,2011,0.0203
CPV,2012,0.0203
CPV,2013,0.0203
CPV,2014,0.0203
CPV,2015,0.0203
CPV,2016,0.0203
CPV,2017,0.0203
CPV,2018,0.0203
CPV,2019,0.0203
CRI,2000,2.339
CRI,2001,2.339
CRI,2002,2.339
CRI,2003,2.339
CRI,2004,2.339
CRI,2005,2.339
CRI,2006,2.339
CRI,2007,2.339
CRI,2008,2.339
CRI,2009,2.339
CRI,2010,2.339
CRI,2011,2.339
CRI,2012,2.339
CRI,2013,2.339
CRI,2014,2.339
CRI,2015,3.191
CRI,2016,3.191
CRI,2017,3.191
CRI,2018,3.191
CRI,2019,3.191
CUB,2000,4.937
CUB,2001,4.937
CUB,2002,4.937
CUB,2003,4.937
CUB,2004,4.937
CUB,2005,4.937
CUB,2006,4.937
CUB,2007,4.937
CUB,2008,4.937
CUB,2009,4.937
CUB,2010,4.937
CUB,2011,4.937
CUB,2012,4.937
CUB,2013,6.959
CUB,2014,6.959
CUB,2015,6.959
CUB,2016,6.959
CUB,2017,6.959
CUB,2018,6.959
CUB,2019,6.959
CYM,2000,0.0
CYM,2001,0.0
CYM,2002,0.0
CYM,2003,0.0
CYM,2004,0.0
CYM,2005,0.0
CYM,2006,0.0
CYM,2007,0.0
CYM,2008,0.0
CYM,2009,0.0
CYM,2010,0.0
CYM,2011,0.0
CYM,2012,0.0
CYM,2013,0.0
CYM,2014,0.0
CYM,2015,0.0
CYM,2016,0.0
CYM,2017,0.0
CYM,2018,0.0
CYM,2019,0.0
CYP,2000,0.1707
CYP,2001,0.1707
CYP,2002,0.1707
CYP,2003,0.1707
CYP,2004,0.1707
CYP,2005,0.1707
CYP,2006,0.1707
CYP,2007,0.1641
CYP,2008,0.1641
CYP,2009,0.1641
CYP,2010,0.1641
CYP,2011,0.1641
CYP,2012,0.2553
CYP,2013,0.2553
CYP,2014,0.2553
CYP,2015,0.2553
CYP,2016,0.2553
CYP,2017,0.216
CYP,2018,0.216
CYP,2019,0.216
CZE,2000,1.908
CZE,2001,1.908
CZE,2002,1.908
CZE,2003,1.908
CZE,2004,1.908
CZE,2005,1.908
CZE,2006,1.908
CZE,2007,1.969
CZE,2008,1.969
CZE,2009,1.969
CZE,2010,1.969
CZE,2011,1.969
CZE,2012,1.841
CZE,2013,1.841
CZE,2014,1.841
CZE,2015,1.841
CZE,2016,1.841
CZE,2017,1.63
CZE,2018,1.63
CZE,2019,1.63
DEU,2000,39.11
DEU,2001,39.11
DEU,2002,39.11
DEU,2003,39.11
DEU,2004,39.11
DEU,2005,39.11
DEU,2006,39.11
DEU,2007,32.26
DEU,2008,32.26
DEU,2009,32.26
DEU,2010,32.99
DEU,2011,32.99
DEU,2012,32.99
DEU,2013,32.99
DEU,2014,32.99
DEU,2015,32.99
DEU,2016,24.44
DEU,2017,24.44
DEU,2018,24.44
DEU,2019,24.44
DJI,2000,0.0188
DJI,2001,0.0188
DJI,2002,0.0188
DJI,2003,0.0188
DJI,2004,0.0188
DJI,2005,0.0188
DJI,2006,0.0188
DJI,2007,0.0188
DJI,2008,0.0188
DJI,2009,0.0188
DJI,2010,0.0188
DJI,2011,0.0188
DJI,2012,0.0188
DJI,2013,0.0188
DJI,2014,0.0188
DJI,2015,0.0188
DJI,2016,0.0188
DJI,2017,0.0188
DJI,2018,0.0188
DJI,2019,0.0188
DMA,2000,0.0166
DMA,2001,0.0166
DMA,2002,0.0166
DMA,2003,0.0166
DMA,2004,0.0166
DMA,2005,0.0166
DMA,2006,0.0166
DMA,2007,0.0166
DMA,2008,0.0166
DMA,2009,0.0166
DMA,2010,0.02
DMA,2011,0.02
DMA,2012,0.02
DMA,2013,0.02
DMA,2014,0.02
DMA,2015,0.02
DMA,2016,0.02
DMA,2017,0.02
DMA,2018,0.02
DMA,2019,0.02
DNK,2000,0.6529
DNK,2001,0.6529
DNK,2002,0.6529
DNK,2003,0.6529
DNK,2004,0.6529
DNK,2005,0.6529
DNK,2006,0.6529
DNK,2007,0.5558
DNK,2008,0.5558
DNK,2009,0.5558
DNK,2010,0.5558
DNK,2011,0.5558
DNK,2012,0.7285
DNK,2013,0.7285
DNK,2014,0.7285
DNK,2015,0.7285
DNK,2016,0.7411
DNK,2017,0.7411
DNK,2018,0.7411
DNK,2019,0.7411
DOM,2000,4.865
DOM,2001,4.865
DOM,2002,4.865
DOM,2003,4.865
DOM,2004,4.865
DOM,2005,5.451
DOM,2006,5.451
DOM,2007,5.451
DOM,2008,5.451
DOM,2009,5.451
DOM,2010,7.137
DOM,2011,7.137
DOM,2012,7.137
DOM,2013,7.137
DOM,2014,7.137
